State,Name,Poverty Rate,Unemployment Rate,Year
26,Michigan,15.415805331196253,3.5212227147466546,2015
27,Minnesota,9.953941949076745,2.301809569159395,2015
28,Mississippi,20.168058229493102,3.442737808685038,2016
29,Missouri,13.572197603807648,2.452732644017725,2016
30,Montana,13.010589724897365,2.4338142193914747,2016
31,Nebraska,11.08757936066815,1.9794810593587386,2016
32,Nevada,13.58544627350889,3.346498606490076,2016
33,New Hampshire,7.063931165459865,2.0184372881228954,2016
34,New Jersey,10.239993005733487,3.1639441089236264,2016
35,New Mexico,19.43585221634635,3.428086774963179,2016
36,New York,14.346834832349124,3.038522252067316,2016
37,North Carolina,14.998637992633729,3.0459195560210777,2016
38,North Dakota,10.352093071734,1.5544499461048376,2016
39,Ohio,14.166774220183905,2.859345054614657,2016
40,Oklahoma,15.811580347546528,2.826310079032797,2016
